file,label
mixture_devtrain_babycry_000_07a75692b15446e9fbf6cc3afaf96097.wav,0
mixture_devtrain_babycry_001_6c193b823c29f4ee33a8a8d892913803.wav,0
mixture_devtrain_babycry_002_4f125ae66e568740491c222c1e1232e4.wav,3
mixture_devtrain_babycry_003_2c5dc0c186ac0a771c30555a244038e8.wav,3
mixture_devtrain_babycry_004_2e748c922c0762182759a13cbca8e84d.wav,3
mixture_devtrain_babycry_005_02c94942f42f96cdc50ed1a87200ba5b.wav,3
mixture_devtrain_babycry_006_a9196cb1f180ff3c96339582025ec0b8.wav,3
mixture_devtrain_babycry_007_63be1137309c3f059d3f06c9116fa057.wav,3
mixture_devtrain_babycry_008_1c6b876d43bd46e087afd501dcd8f1de.wav,0
mixture_devtrain_babycry_009_fe63017a3f5302e60b2b51b53c0f676d.wav,0
mixture_devtrain_babycry_010_69c376b6b6ba26b3a49fed6a52c4dedc.wav,0
mixture_devtrain_babycry_011_c881d406d9d9f2c2a5b56e13c61bce3d.wav,0
mixture_devtrain_babycry_012_96e547b4545eb90716634854226a3103.wav,3
mixture_devtrain_babycry_013_5e36032312dfc246a317a89d32b4768a.wav,3
mixture_devtrain_babycry_014_62ccbeb680aa364d14f9d8f2e2e7cc06.wav,3
mixture_devtrain_babycry_015_cb2f0c234f4e3755440d2361a5d23780.wav,0
mixture_devtrain_babycry_016_fc5d07d99a27b5bd5133b462352aa20b.wav,3
mixture_devtrain_babycry_017_a91874a0a945ca1f365c583fbe6f4eb1.wav,0
mixture_devtrain_babycry_018_03774065874b1195701d26ce6844c93d.wav,3
mixture_devtrain_babycry_019_8bc00e8f6b0783222aecbc644bbea6b6.wav,3
mixture_devtrain_babycry_020_28f398caf840368f8b70467cbcf8667f.wav,0
mixture_devtrain_babycry_021_c7c83ac1a6851f6e6d47c6a29719a40d.wav,0
mixture_devtrain_babycry_022_2db33472f61942c2fc31f1d4ce8ccb11.wav,0
mixture_devtrain_babycry_023_05c4cff75186054af7fbb4c6623d19d2.wav,0
mixture_devtrain_babycry_024_2437cac3baa10adbc7295f96339b531e.wav,0
mixture_devtrain_babycry_025_7c039c178a2f4ad9684ee6432e207010.wav,3
mixture_devtrain_babycry_026_502f62f9d25af25800f3e1417b2ac27d.wav,3
